,model,run,seed,title,clarity,relevance,rigor,final_score
0,microsoft/Phi-3-mini-4k-instruct,1,100,"[Demonstration of tumor inhibiting properties of a strongly immunostimulating low-molecular weight substance. Comparative studies with ifosfamide on the immuno-labile DS carcinosarcoma. Stimulation of the autoimmune activity for approx. 20 days by BA 1, a N-(2-cyanoethylene)-urea. Novel prophylactic possibilities].",4.0,4.0,4.0,4.0
1,microsoft/Phi-3-mini-4k-instruct,1,100,The effect of o-salicylate upon pentose phosphate pathway activity in normal and G6PD-deficient red cells.,4.5,4.0,4.0,4.166666666666667
2,microsoft/Phi-3-mini-4k-instruct,2,101,"[Demonstration of tumor inhibiting properties of a strongly immunostimulating low-molecular weight substance. Comparative studies with ifosfamide on the immuno-labile DS carcinosarcoma. Stimulation of the autoimmune activity for approx. 20 days by BA 1, a N-(2-cyanoethylene)-urea. Novel prophylactic possibilities].",4.0,4.5,4.0,4.166666666666667
3,microsoft/Phi-3-mini-4k-instruct,2,101,The effect of o-salicylate upon pentose phosphate pathway activity in normal and G6PD-deficient red cells.,4.0,4.0,4.0,4.0
4,Qwen/Qwen2.5-3B-Instruct,1,100,"[Demonstration of tumor inhibiting properties of a strongly immunostimulating low-molecular weight substance. Comparative studies with ifosfamide on the immuno-labile DS carcinosarcoma. Stimulation of the autoimmune activity for approx. 20 days by BA 1, a N-(2-cyanoethylene)-urea. Novel prophylactic possibilities].",3.0,4.0,2.0,3.0
5,Qwen/Qwen2.5-3B-Instruct,1,100,The effect of o-salicylate upon pentose phosphate pathway activity in normal and G6PD-deficient red cells.,3.0,4.0,3.0,3.3333333333333335
6,Qwen/Qwen2.5-3B-Instruct,2,101,"[Demonstration of tumor inhibiting properties of a strongly immunostimulating low-molecular weight substance. Comparative studies with ifosfamide on the immuno-labile DS carcinosarcoma. Stimulation of the autoimmune activity for approx. 20 days by BA 1, a N-(2-cyanoethylene)-urea. Novel prophylactic possibilities].",3.0,4.0,2.0,3.0
7,Qwen/Qwen2.5-3B-Instruct,2,101,The effect of o-salicylate upon pentose phosphate pathway activity in normal and G6PD-deficient red cells.,3.0,4.0,3.0,3.3333333333333335
8,meta-llama/Llama-3.2-3B-Instruct,1,100,"[Demonstration of tumor inhibiting properties of a strongly immunostimulating low-molecular weight substance. Comparative studies with ifosfamide on the immuno-labile DS carcinosarcoma. Stimulation of the autoimmune activity for approx. 20 days by BA 1, a N-(2-cyanoethylene)-urea. Novel prophylactic possibilities].",4.0,4.0,,4.0
9,meta-llama/Llama-3.2-3B-Instruct,1,100,The effect of o-salicylate upon pentose phosphate pathway activity in normal and G6PD-deficient red cells.,4.0,4.0,,4.0
10,meta-llama/Llama-3.2-3B-Instruct,2,101,"[Demonstration of tumor inhibiting properties of a strongly immunostimulating low-molecular weight substance. Comparative studies with ifosfamide on the immuno-labile DS carcinosarcoma. Stimulation of the autoimmune activity for approx. 20 days by BA 1, a N-(2-cyanoethylene)-urea. Novel prophylactic possibilities].",4.0,4.0,,4.0
11,meta-llama/Llama-3.2-3B-Instruct,2,101,The effect of o-salicylate upon pentose phosphate pathway activity in normal and G6PD-deficient red cells.,3.0,4.0,,3.5
